codeBar;name;Dosage;Form;Packaging;Famille;quantity;Seuil minimum;costPrice;sellPrice
ACID_TRANE_500_INJ;Acide Tranexamique;500mg/5ml;Injection;B/5;MIJAMIJ;4 890;; 613,00; 809,16
ACILOC_25//_SI_IV;Ranitidine;25mg/ml;Injection;B/5;MIJAMIJ; 0;; 641,20; 846,38
ACUPAN_2///_SI_IV;Nefopam;20mg/2 ml;Injection;;MIJAMIJ;9 645;; 450,00; 559,36
ADRENA_1///_SI_IV;Adrénaline;1 mg;;;MIJAMIJ;1 070;; 90,00; 382,80
AIGEPI_UU23G//_//;Aiguille épicrânienne, Luer, UU. Aigui.:section 0.80 mm;23G;Matériel;;DIMADIM;8 100;; 22,50; 35,24
AIGEPI_UU25G//_//;Aiguille épicrânienne, Luer, UU. Aigui.:section 0.50 mm;25G;Matériel;;DIMADIM;1 400;; 20,00; 33,79
AIGPOL_UU19G//_//;Aiguille à Ponction Lombaire, Luer, Usage Unique 89mm * 3.5;19G;Matériel;;DIMADIM; 0;; 441,00; 581,12
AIGPOL_UU22G//_//;Aiguille à Ponction Lombaire, Luer, Usage Unique 63mm * 2.5;22G;Matériel;;DIMSERIN; 0;; 441,00; 582,12
AIGPOL_UU25G//_//;Aiguille à Ponction Lombaire N° 25;;Matériel;;DIMADIM; 50;; 400,00; 660,00
ALBEND_400/_CP_OR;Albendazole Comp;400 mg;;;MSO;21 604;; 60,00; 100,00
ALBEND_400/_SP_OR;Albendazole;200mg/5ml;Sirop;;MSOAMSO; 752;; 200,00; 330,00
ALCOET_250L_SC_ID;Alcool ethylique fut;250L;Liquide;;MUEMUE; 0;; 920,00; 920,00
ALCOET_70%/_CU_12;Alcool éthylique à 70 %;125 ml;Liquide;;MUEMUE; 225;; 370,00; 444,00
ALCOET_95%/_CU_1/;Alcool éthylique à 95 %;1L;Liquide;;MUEMUE; 59;;1 940,40;1 940,40
ALCOET_BI_30L;Alcool ethylique 95°;;Liquide;B/30L;MUEMUE; 33;;39 415,00;39 415,00
ALUMHY_500/_CP_OR;Aluminium Hydroxyde;500 mg;Comprimé;;MSPAMSP;74 600;; 13,00; 17,16
AMOCLAV_1125_SA_OR;Amoxicilline et clavulanate de potassium;1G/125mg;Sachet;;MSO;6 412;; 200,00; 264,00
AMOCLAV_625_CP_OR;AMGMAX-625;"500mg; 125mg";;B/16;MSOAMSO;10 448;; 137,00; 198,00
AMOCLA_1125_CP_OR;Amoxycilline + Acide Clavulanique;1000 mg + 125mg;Comprimé;;MSO;4 640;; 150,00; 387,99
AMOCLA_1125_SA_OR;Amoxycilline+Acide Clavulanique DENK SCHET;1G/125mg;;B/8;MSO; 56;; 340,42; 387,99
AMOCLA_1200_SI_IV;Amoxycilline+Acide Clavulanique 1000/;200mg;Injection;;MIJAMIJ;4 744;; 750,00;1 122,00
AMOCLA_312/_SP_OR;AMOXYCILINE + ACIDE CLAVULANIQUE 250/ F/;"62.5mg; 60ml";;;MSOAMSO; 689;;1 000,00;1 320,00
AMOXIC_500/_CP_OR;Amoxycilline , sous blister;500 mg;Comprimé;;MSO;28 280;; 22,00; 30,44
AMOXIC_500/_GE_OR;Amoxycilline ,sous blister;500mg;Gélule;;MSO;613 100;; 22,00; 30,44
AMOXYC_250/_SP_1I;Amoxycilline poudre pour;"250mg/5ml; 100 ml";Sirop;;MSPANBIOT;8 986;; 550,00; 759,00
